unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS,AutoNHITS,Chronos
hotel_0,2023-01-13,mae,0.13359788359788358,0.2720458553791887,0.1714341558572698,0.2498168568013486,0.18635034572068174,0.15711633364359537,0.23209152908131767,0.16082254314969244
hotel_105,2023-01-13,mae,0.38881401617250677,0.11253369272237194,0.14911801526014085,0.1344461237171059,0.1171245611363524,0.18126326026888656,0.24288105850860223,0.25969725868665516
hotel_112,2023-01-13,mae,0.3046875,0.16718750000000002,0.18185751148712972,0.1636433586471703,0.17196643984625526,0.14134573808738163,0.13601931205817633,0.1579146674701146
hotel_126,2023-01-13,mae,0.1400113830392715,0.12293682413204325,0.11741531793130819,0.12421169980788926,0.1370785619981131,0.14574089027224582,0.14554729772753924,0.14393420681128397
hotel_133,2023-01-13,mae,0.2529274004683841,0.17681498829039813,0.25972896751885144,0.15431404195160026,0.10878761936617318,0.15039667966982798,0.12043436559078566,0.12545015741427554
hotel_14,2023-01-13,mae,0.07749326145552562,0.12129380053908359,0.05652291920521007,0.08697785084866567,0.10122019275389167,0.10268970641164446,0.11443037212376969,0.11633476313715677
hotel_21,2023-01-13,mae,0.13359788359788358,0.04365079365079364,0.12374543745560988,0.07753495010979883,0.05626704115699162,0.04088717218113954,0.04152696875352708,0.040862937610616115
hotel_35,2023-01-13,mae,0.07017299107142858,0.0908203125,0.07797729688211116,0.07451802647757325,0.0689351430833176,0.10645956439631325,0.06874710321426392,0.10004686032022748
hotel_42,2023-01-13,mae,0.3034991324465009,0.3332851359167148,0.2327404945015976,0.22443349259375758,0.2538029254313883,0.22150168807486567,0.2605888926014175,0.37889967328761615
hotel_49,2023-01-13,mae,0.053649407361197735,0.06238303181534621,0.05210378529900998,0.06258133609114981,0.054598286294417694,0.07355317357214108,0.05982262295852655,0.05983206709696958
hotel_56,2023-01-13,mae,0.06309523809523808,0.03392857142857143,0.05665423988948293,0.06047521013738609,0.057989641612872456,0.06037909771714892,0.05264943100157238,0.04594433307647705
hotel_63,2023-01-13,mae,0.2461904761904762,0.2811111111111111,0.17359453346934525,0.19221554713989608,0.15710079181818312,0.23801664328764355,0.17145643513354045,0.20366124691471224
hotel_7,2023-01-13,mae,0.10818985574685903,0.04571893904141462,0.027253284212153266,0.03249747945148919,0.0518280737430058,0.10064913978017502,0.07633717866027671,0.08308809970342154
hotel_70,2023-01-13,mae,0.06406641604010026,0.06531954887218046,0.08607291323055255,0.05783121225656194,0.13543046703006273,0.06499989704231272,0.0600241449169049,0.06717142658798318
hotel_84,2023-01-13,mae,0.32933761739990114,0.2564260998517054,0.2425891678042638,0.251500157930072,0.24532801104880322,0.24312706908567439,0.25279948352898224,0.2467685422307185
hotel_91,2023-01-13,mae,0.20906902086677365,0.12158908507223112,0.17549715812403235,0.15198089631695036,0.14242894508746132,0.13385902632201271,0.16273563418591191,0.16041477407249552
hotel_98,2023-01-13,mae,0.1359447004608295,0.09389400921658987,0.06948671229028618,0.10041205325518539,0.04191827163121507,0.11099144944294533,0.1374908235559266,0.0900677395340759
hotel_0,2023-02-10,mae,0.20194003527336862,0.17548500881834214,0.20900664342649597,0.12060658887704089,0.11890003731162405,0.2508794938524564,0.23442339841966273,0.1257345902699011
hotel_105,2023-02-10,mae,0.19519317160826596,0.10175202156334232,0.08395135597180385,0.09131739081702298,0.10000717402770617,0.08679791346446739,0.16029393635455919,0.1196470555162387
hotel_112,2023-02-10,mae,0.12120535714285717,0.1064732142857143,0.09992872208012414,0.0796966365887691,0.09624039168183837,0.11430783569812775,0.09855828242642539,0.08023223408630917
hotel_126,2023-02-10,mae,0.1115537848605578,0.11980648833238476,0.11406415848035419,0.10939295631941119,0.10845747089766203,0.1303553106470005,0.11843084429873617,0.11072452784466622
hotel_133,2023-02-10,mae,0.1762295081967213,0.16920374707259953,0.162097464570587,0.1475921063308691,0.13263429466767743,0.21841229393694386,0.20283634163247338,0.1538308306795652
hotel_14,2023-02-10,mae,0.12196765498652291,0.10579514824797843,0.09853422342523692,0.11160448294034818,0.0925286379230253,0.17789279792026047,0.13291374905250788,0.1291076584325004
hotel_21,2023-02-10,mae,0.013888888888888867,0.014219576719576715,0.01738435541520594,0.05195679224200347,0.05236528759835316,0.047704186546739434,0.06219283069567705,0.0213661172560283
hotel_35,2023-02-10,mae,0.17494419642857142,0.18150111607142858,0.14263219980786093,0.11432876997000242,0.16941318431918864,0.16628216207027435,0.23102691769599915,0.20462129265069962
hotel_42,2023-02-10,mae,0.2495662232504338,0.26778484673221514,0.2845055192777247,0.21098682642951802,0.17784026172827638,0.33826366705553873,0.2619397729126755,0.22378724645403095
hotel_49,2023-02-10,mae,0.1615720524017467,0.15626949469744228,0.11042435323378223,0.11827164453159554,0.1108490462353301,0.10802242570717634,0.10524701377747582,0.10939901585662207
hotel_56,2023-02-10,mae,0.07261904761904758,0.028571428571428557,0.051687809782003505,0.058943458659793745,0.06594262911916862,0.08826717734336853,0.10665749652045113,0.04671179723171961
hotel_63,2023-02-10,mae,0.1865079365079365,0.22904761904761903,0.18435204800959687,0.19238913818825573,0.16759139598160644,0.20020080289197345,0.1805384176118033,0.1805312043901474
